Wall time,Step,Value
1662921312.442469,5000,1201.246826171875
1662921467.6607614,10000,1202.2320556640625
1662921657.1661975,15000,1202.9656982421875
1662921819.5227714,20000,1203.2432861328125
1662922103.398248,25000,1205.1544189453125
1662922564.0978458,30000,1206.2562255859375
1662922914.2375166,35000,1207.579345703125
1662923449.1168845,40000,1207.15625
1662924010.7525475,45000,1208.222412109375
1662924147.3526099,50000,1209.3836669921875
1662924326.7549336,55000,1209.9378662109375
1662924503.762565,60000,1210.207275390625
1662924729.9555168,65000,1211.943359375
1662925009.7409363,70000,1212.09130859375
1662972167.0955093,75000,1213.5078125
1662972266.9251153,80000,1214.00634765625
1662972402.223734,85000,1214.167236328125
1662972604.0416777,90000,1213.9991455078125
1662972759.898285,95000,1214.4906005859375
1662972969.6655166,100000,1216.7166748046875
1662973241.6549842,105000,1219.124755859375
1662973540.4164095,110000,1220.611572265625
1662974016.0731232,115000,1222.455810546875
1662974549.10262,120000,1222.7012939453125
1662975282.7441776,125000,1223.235107421875
1662975942.261134,130000,1224.519775390625
1662976770.344806,135000,1225.9447021484375
1662977697.9147732,140000,1226.301025390625
1662978794.711202,145000,1228.298828125
1662979981.8212311,150000,1228.15087890625
1662981236.8750622,155000,1229.4888916015625
1662982541.6514313,160000,1231.4376220703125
1662983925.1250868,165000,1231.8896484375
1662985371.990218,170000,1231.8896484375
1662987212.0628839,175000,1232.93212890625
1662988606.999118,180000,1236.328857421875
1662990629.0812387,185000,1239.3055419921875
